name,accuracy,auc,f1,precision,recall,cm,fpr,tpr
efficientnet — variante,0.9731,0.9949,0.974,0.9776,0.9704,"[[244   6]
 [  8 262]]","[0.    0.    0.    0.004 0.004 0.008 0.008 0.012 0.012 0.016 0.016 0.02
 0.02  0.024 0.024 0.032 0.032 0.04  0.04  0.048 0.048 0.056 0.056 0.252
 0.252 1.   ]","[0.         0.0037037  0.63333333 0.63333333 0.74444444 0.74444444
 0.87407407 0.87407407 0.88518519 0.88518519 0.93703704 0.93703704
 0.94444444 0.94444444 0.97777778 0.97777778 0.98518519 0.98518519
 0.98888889 0.98888889 0.99259259 0.99259259 0.9962963  0.9962963
 1.         1.        ]"
resnet50 — variante,0.9692,0.9973,0.9701,0.9774,0.963,"[[244   6]
 [ 10 260]]","[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.004
 0.004 0.008 0.008 0.012 0.012 0.016 0.016 0.024 0.024 0.036 0.036 0.044
 0.044 0.056 0.056 0.08  0.08  1.   ]","[0.         0.00740741 0.01851852 0.03333333 0.03703704 0.05185185
 0.11851852 0.12592593 0.17037037 0.17777778 0.88518519 0.88518519
 0.92222222 0.92222222 0.94074074 0.94074074 0.94814815 0.94814815
 0.95185185 0.95185185 0.96666667 0.96666667 0.97407407 0.97407407
 0.97777778 0.97777778 0.99259259 0.99259259 1.         1.        ]"
resnet50 — base,0.9635,0.9971,0.9642,0.9808,0.9481,"[[245   5]
 [ 14 256]]","[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.004 0.004 0.008 0.008 0.012 0.012 0.016 0.016 0.02
 0.02  0.024 0.024 0.032 0.032 0.04  0.04  0.048 0.048 0.1   0.1   0.104
 0.104 0.116 0.116 1.   ]","[0.         0.03703704 0.06296296 0.06666667 0.08518519 0.1
 0.10740741 0.11111111 0.11851852 0.12592593 0.13333333 0.14444444
 0.15925926 0.17037037 0.18888889 0.1962963  0.2        0.20740741
 0.22592593 0.23333333 0.24074074 0.25555556 0.29259259 0.3
 0.33703704 0.34444444 0.9        0.9        0.90740741 0.90740741
 0.91851852 0.91851852 0.92962963 0.92962963 0.93333333 0.93333333
 0.95925926 0.95925926 0.97407407 0.97407407 0.98148148 0.98148148
 0.98518519 0.98518519 0.98888889 0.98888889 0.99259259 0.99259259
 0.9962963  0.9962963  1.         1.        ]"
vgg16 — variante,0.9577,0.9946,0.9585,0.9769,0.9407,"[[244   6]
 [ 16 254]]","[0.    0.    0.    0.004 0.004 0.008 0.008 0.012 0.012 0.016 0.016 0.02
 0.02  0.024 0.024 0.028 0.028 0.032 0.032 0.036 0.036 0.052 0.052 0.056
 0.056 0.076 0.076 0.088 0.088 0.092 0.092 0.208 0.208 0.288 0.288 1.   ]","[0.         0.0037037  0.87777778 0.87777778 0.91111111 0.91111111
 0.91851852 0.91851852 0.92592593 0.92592593 0.93333333 0.93333333
 0.93703704 0.93703704 0.94444444 0.94444444 0.95185185 0.95185185
 0.95555556 0.95555556 0.95925926 0.95925926 0.96296296 0.96296296
 0.97407407 0.97407407 0.97777778 0.97777778 0.98518519 0.98518519
 0.99259259 0.99259259 0.9962963  0.9962963  1.         1.        ]"
vgg16 — base,0.9481,0.9915,0.9482,0.9841,0.9148,"[[246   4]
 [ 23 247]]","[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.004 0.004 0.008 0.008 0.012 0.012 0.016 0.016 0.02  0.02
 0.036 0.036 0.044 0.044 0.048 0.048 0.056 0.056 0.068 0.068 0.084 0.084
 0.112 0.112 0.128 0.128 0.16  0.16  0.212 0.212 0.552 0.552 1.   ]","[0.         0.01111111 0.02592593 0.03333333 0.04074074 0.05555556
 0.06296296 0.1037037  0.11111111 0.11851852 0.12592593 0.26296296
 0.27037037 0.82222222 0.82222222 0.85555556 0.85555556 0.8962963
 0.8962963  0.9        0.9        0.92592593 0.92592593 0.92962963
 0.92962963 0.93703704 0.93703704 0.94444444 0.94444444 0.95185185
 0.95185185 0.96666667 0.96666667 0.97037037 0.97037037 0.97777778
 0.97777778 0.98148148 0.98148148 0.98518519 0.98518519 0.99259259
 0.99259259 0.9962963  0.9962963  1.         1.        ]"
efficientnet — base,0.9404,0.9855,0.9407,0.9723,0.9111,"[[243   7]
 [ 24 246]]","[0.    0.    0.    0.004 0.004 0.008 0.008 0.012 0.012 0.02  0.02  0.024
 0.024 0.028 0.028 0.036 0.036 0.04  0.04  0.048 0.048 0.052 0.052 0.056
 0.056 0.064 0.064 0.092 0.092 0.108 0.108 0.12  0.12  0.136 0.136 0.18
 0.18  0.196 0.196 0.252 0.252 0.48  0.48  1.   ]","[0.         0.0037037  0.3037037  0.3037037  0.59259259 0.59259259
 0.71851852 0.71851852 0.81111111 0.81111111 0.87037037 0.87037037
 0.91111111 0.91111111 0.91481481 0.91481481 0.92222222 0.92222222
 0.93703704 0.93703704 0.94074074 0.94074074 0.94814815 0.94814815
 0.95925926 0.95925926 0.96296296 0.96296296 0.96666667 0.96666667
 0.97407407 0.97407407 0.97777778 0.97777778 0.98518519 0.98518519
 0.98888889 0.98888889 0.99259259 0.99259259 0.9962963  0.9962963
 1.         1.        ]"
